"","ticker","date","close"
"1","LUV",2014-12-31,34.2
"2","LUV",2013-12-31,18.84
"3","LUV",2012-12-31,10.24
"4","LUV",2011-12-31,8.56
"5","LUV",2010-12-31,12.98
"6","LUV",2009-12-31,11.43
"7","LUV",2008-12-31,8.62
"8","LUV",2007-12-31,12.2
"9","LUV",2006-12-31,15.32
"10","LUV",2005-12-31,16.43
"11","LUV",2004-12-31,16.28
"12","LUV",2003-12-31,16.14
"13","LUV",2002-12-31,13.9
"14","LUV",2001-12-31,18.48
"15","LUV",2000-12-31,22.36
"16","LUV",1999-12-31,10.76
"17","LUV",1998-12-31,10.09
"18","LUV",1997-12-31,7.31
"19","LUV",1996-12-31,4.35
"20","LUV",1995-12-31,4.55
"21","LUV",1994-12-31,3.32
"22","LUV",1993-12-31,1.46
"23","LUV",1992-12-31,3.89
"24","LUV",1991-12-31,2.25
"25","LUV",1990-12-31,1.16
"26","LUV",1989-12-31,1.06
"27","LUV",1988-12-31,0.89
"28","LUV",1987-12-31,0.59
"29","LUV",1986-12-31,0.91
"30","LUV",1985-12-31,1.18
"31","LUV",1984-12-31,0.97
"32","LUV",1983-12-31,1.2
"33","LUV",1982-12-31,0.94
"34","LUV",1981-12-31,0.51
"35","DAL",2014-12-31,37.48
"36","DAL",2013-12-31,27.47
"37","DAL",2012-12-31,11.87
"38","DAL",2011-12-31,8.09
"39","DAL",2010-12-31,12.6
"40","DAL",2009-12-31,11.38
"41","DAL",2008-12-31,11.46
"42","DAL",2007-12-31,14.89
"43","JBLU",2014-12-31,11.18
"44","JBLU",2013-12-31,8.54
"45","JBLU",2012-12-31,5.72
"46","JBLU",2011-12-31,5.2
"47","JBLU",2010-12-31,6.61
"48","JBLU",2009-12-31,5.45
"49","JBLU",2008-12-31,7.1
"50","JBLU",2007-12-31,5.9
"51","JBLU",2006-12-31,14.2
"52","JBLU",2005-12-31,15.38
"53","JBLU",2004-12-31,15.48
"54","JBLU",2003-12-31,17.68
"55","JBLU",2002-12-31,12.01
"56","ALK",2014-12-31,46.77
"57","ALK",2013-12-31,36.68
"58","ALK",2012-12-31,21.54
"59","ALK",2011-12-31,18.77
"60","ALK",2010-12-31,14.17
"61","ALK",2009-12-31,8.64
"62","ALK",2008-12-31,7.31
"63","ALK",2007-12-31,6.25
"64","ALK",2006-12-31,9.88
"65","ALK",2005-12-31,8.93
"66","ALK",2004-12-31,8.37
"67","ALK",2003-12-31,6.82
"68","ALK",2002-12-31,5.41
"69","ALK",2001-12-31,7.28
"70","ALK",2000-12-31,7.44
"71","ALK",1999-12-31,8.78
"72","ALK",1998-12-31,11.06
"73","ALK",1997-12-31,19.38
"74","ALK",1996-12-31,10.5
"75","ALK",1995-12-31,8.12
"76","ALK",1994-12-31,7.5
"77","ALK",1993-12-31,7.06
"78","ALK",1992-12-31,8.25
"79","ALK",1991-12-31,10.88
"80","ALK",1990-12-31,8.75
"81","ALK",1989-12-31,10.31
"82","ALK",1988-12-31,10
"83","ALK",1987-12-31,6.75
"84","ALK",1986-12-31,10
"85","ALK",1985-12-31,8.06
"86","ALK",1984-12-31,7.56
"87","ALK",1983-12-31,7.06
"88","ALK",1982-12-31,6.62
"89","ALK",1981-12-31,3.06
"90","LCC",2013-12-31,22.55
"91","LCC",2012-12-31,13.5
"92","LCC",2011-12-31,5.07
"93","LCC",2010-12-31,10.01
"94","LCC",2009-12-31,4.84
"95","LCC",2008-12-31,7.73
"96","LCC",2007-12-31,14.71
"97","LCC",2006-12-31,53.85
"98","LCC",2005-12-31,37.14
"99","LCC",2004-12-31,6.58
"100","LCC",2003-12-31,12.4
"101","UAL",2014-12-31,49.06
"102","UAL",2013-12-31,37.83
"103","UAL",2012-12-31,23.38
"104","UAL",2011-12-31,18.87
"105","UAL",2010-12-31,23.82
"106","UAL",2009-12-31,12.91
"107","UAL",2008-12-31,11.02
"108","UAL",2007-12-31,35.66
"109","UAL",2006-12-31,44
"110","BBT",2014-12-31,36.07
"111","BBT",2013-12-31,37.32
"112","BBT",2012-12-31,29.11
"113","BBT",2011-12-31,25.17
"114","BBT",2010-12-31,26.29
"115","BBT",2009-12-31,25.37
"116","BBT",2008-12-31,27.46
"117","BBT",2007-12-31,30.67
"118","BBT",2006-12-31,43.93
"119","BBT",2005-12-31,41.91
"120","BBT",2004-12-31,42.05
"121","BBT",2003-12-31,38.64
"122","BBT",2002-12-31,36.99
"123","BBT",2001-12-31,36.11
"124","BBT",2000-12-31,37.31
"125","BBT",1999-12-31,27.38
"126","BBT",1998-12-31,40.31
"127","AMZN",2014-12-31,315.33
"128","AMZN",2013-12-31,398.79
"129","AMZN",2012-12-31,250.87
"130","AMZN",2011-12-31,173.1
"131","AMZN",2010-12-31,180
"132","AMZN",2009-12-31,134.52
"133","AMZN",2008-12-31,51.28
"134","AMZN",2007-12-31,92.64
"135","AMZN",2006-12-31,39.46
"136","AMZN",2005-12-31,47.15
"137","AMZN",2004-12-31,44.29
"138","AMZN",2003-12-31,52.62
"139","AMZN",2002-12-31,18.89
"140","AMZN",2001-12-31,10.82
"141","AMZN",2000-12-31,15.56
"142","AMZN",1999-12-31,76.12
"143","AMZN",1998-12-31,53.49
"144","AMZN",1997-12-31,5.02
"145","AET",2014-12-31,78.39
"146","AET",2013-12-31,68.59
"147","AET",2012-12-31,46.31
"148","AET",2011-12-31,42.19
"149","AET",2010-12-31,30.51
"150","AET",2009-12-31,31.7
"151","AET",2008-12-31,28.5
"152","AET",2007-12-31,57.73
"153","AET",2006-12-31,43.18
"154","AET",2005-12-31,47.16
"155","AET",2004-12-31,31.19
"156","AET",2003-12-31,16.9
"157","AET",2002-12-31,10.28
"158","AET",2001-12-31,8.25
"159","AET",2000-12-31,10.27
"160","AET",1999-12-31,7.09
"161","AET",1998-12-31,9.99
"162","AET",1997-12-31,NA
"163","AET",1996-12-31,NA
"164","AET",1995-12-31,NA
"165","AET",1994-12-31,NA
"166","AET",1993-12-31,NA
"167","AET",1992-12-31,NA
"168","AET",1991-12-31,NA
"169","AET",1990-12-31,NA
"170","AET",1989-12-31,NA
"171","AET",1988-12-31,NA
"172","AET",1987-12-31,NA
"173","AET",1986-12-31,NA
"174","AET",1985-12-31,NA
"175","AET",1984-12-31,NA
"176","AET",1983-12-31,NA
"177","AET",1982-12-31,NA
"178","AET",1981-12-31,NA
"179","CI",2014-12-31,92.71
"180","CI",2013-12-31,87.48
"181","CI",2012-12-31,53.46
"182","CI",2011-12-31,42
"183","CI",2010-12-31,36.66
"184","CI",2009-12-31,35.27
"185","CI",2008-12-31,16.85
"186","CI",2007-12-31,53.73
"187","CI",2006-12-31,43.86
"188","CI",2005-12-31,37.23
"189","CI",2004-12-31,27.19
"190","CI",2003-12-31,19.17
"191","CI",2002-12-31,13.69
"192","CI",2001-12-31,30.85
"193","CI",2000-12-31,44.06
"194","CI",1999-12-31,26.83
"195","CI",1998-12-31,25.75
"196","CI",1997-12-31,19.11
"197","CI",1996-12-31,15.15
"198","CI",1995-12-31,11.45
"199","CI",1994-12-31,7.06
"200","CI",1993-12-31,6.96
"201","CI",1992-12-31,6.5
"202","CI",1991-12-31,6.78
"203","CI",1990-12-31,4.53
"204","CI",1989-12-31,6.6
"205","CI",1988-12-31,5.23
"206","CI",1987-12-31,4.87
"207","CI",1986-12-31,6.1
"208","CI",1985-12-31,7.12
"209","CI",1984-12-31,4.92
"210","CI",1983-12-31,4.85
"211","CI",1982-12-31,4.91
"212","MAR",2014-12-31,68.42
"213","MAR",2013-12-31,49.35
"214","MAR",2012-12-31,37.27
"215","MAR",2011-12-31,29.17
"216","MAR",2010-12-31,41.54
"217","MAR",2009-12-31,27.25
"218","MAR",2008-12-31,19.45
"219","MAR",2007-12-31,34.18
"220","MAR",2006-12-31,47.72
"221","MAR",2005-12-31,66.97
"222","MAR",2004-12-31,62.98
"223","MAR",2003-12-31,46.2
"224","MAR",2002-12-31,32.87
"225","MAR",2001-12-31,40.65
"226","MAR",2000-12-31,42.25
"227","MAR",1999-12-31,31.56
"228","MAR",1998-12-31,29
"229","MAR",2014-12-31,68.42
"230","MAR",2013-12-31,49.35
"231","MAR",2012-12-31,37.27
"232","MAR",2011-12-31,29.17
"233","MAR",2010-12-31,41.54
"234","MAR",2009-12-31,27.25
"235","MAR",2008-12-31,19.45
"236","MAR",2007-12-31,34.18
"237","MAR",2006-12-31,47.72
"238","MAR",2005-12-31,66.97
"239","MAR",2004-12-31,62.98
"240","MAR",2003-12-31,46.2
"241","MAR",2002-12-31,32.87
"242","MAR",2001-12-31,40.65
"243","MAR",2000-12-31,42.25
"244","MAR",1999-12-31,31.56
"245","MAR",1998-12-31,29
"246","TRV",2014-12-31,95.58
"247","TRV",2013-12-31,90.54
"248","TRV",2012-12-31,71.82
"249","TRV",2011-12-31,59.17
"250","TRV",2010-12-31,55.71
"251","TRV",2009-12-31,49.86
"252","TRV",2008-12-31,45.2
"253","TRV",2007-12-31,53.8
"254","TRV",2006-12-31,53.69
"255","TRV",2005-12-31,44.67
"256","TRV",2004-12-31,37.07
"257","TRV",2003-12-31,39.65
"258","TRV",2002-12-31,34.05
"259","TRV",2001-12-31,43.97
"260","TRV",2000-12-31,54.31
"261","TRV",1999-12-31,33.69
"262","TRV",1998-12-31,34.81
"263","TRV",1997-12-31,41.03
"264","TRV",1996-12-31,29.31
"265","TRV",1995-12-31,27.81
"266","TRV",1994-12-31,22.38
"267","TRV",1993-12-31,7.49
"268","TRV",1992-12-31,19.25
"269","TRV",1991-12-31,18.22
"270","TRV",1990-12-31,15.69
"271","TRV",1989-12-31,14.78
"272","TRV",1988-12-31,10.88
"273","TRV",1987-12-31,11.5
"274","TRV",1986-12-31,10.06
"275","TRV",1985-12-31,9.98
"276","TRV",1984-12-31,6.7
"277","TRV",1983-12-31,7.56
"278","TRV",1982-12-31,7.64
"279","TRV",1981-12-31,6.11
"280","CHTR",2014-12-31,151.14
"281","CHTR",2013-12-31,136.76
"282","CHTR",2012-12-31,76.24
"283","CHTR",2011-12-31,56.94
"284","CHTR",2010-12-31,38.94
"285","CHTR",2009-12-31,0.02
"286","CHTR",2008-12-31,0.08
"287","CHTR",2007-12-31,1.17
"288","CHTR",2006-12-31,3.06
"289","CHTR",2005-12-31,1.22
"290","CHTR",2004-12-31,2.24
"291","CHTR",2003-12-31,4.02
"292","CHTR",2002-12-31,1.18
"293","CHTR",2001-12-31,16.43
"294","CHTR",2000-12-31,22.69
"295","CHTR",1999-12-31,21.88
"296","CMCSA",2014-12-31,51.49
"297","CMCSA",2013-12-31,51.96
"298","CMCSA",2012-12-31,37.36
"299","CMCSA",2011-12-31,23.71
"300","CMCSA",2010-12-31,21.97
"301","CMCSA",2009-12-31,16.86
"302","CMCSA",2008-12-31,16.88
"303","CMCSA",2007-12-31,18.26
"304","CMCSA",2006-12-31,28.22
"305","CMCSA",2005-12-31,17.28
"306","CMCSA",2004-12-31,22.19
"307","CMCSA",2003-12-31,21.86
"308","CMCSA",2002-12-31,15.72
"309","CMCSA",2001-12-31,24.01
"310","CMCSA",2000-12-31,27.56
"311","CMCSA",1999-12-31,31.93
"312","CMCSA",1998-12-31,19.16
"313","CMCSA",1997-12-31,10.63
"314","CMCSA",1996-12-31,5.88
"315","CMCSA",1995-12-31,5.88
"316","CMCSA",1994-12-31,5.13
"317","CMCSA",1993-12-31,8.09
"318","CMCSA",1992-12-31,4.31
"319","CMCSA",1991-12-31,3.73
"320","CMCSA",1990-12-31,2.92
"321","CMCSA",1989-12-31,3.73
"322","CMCSA",1988-12-31,2.49
"323","CMCSA",1987-12-31,2.44
"324","CMCSA",1986-12-31,1.7
"325","CMCSA",1985-12-31,1.48
"326","CMCSA",1984-12-31,0.89
"327","CMCSA",1983-12-31,0.69
"328","CMCSA",1982-12-31,0.51
